id,hotel_cluster
0,91 68 9 2 92
1,82 30 5 64 25
2,91 48 41 55 95
3,30 82 5 62 25
4,91 48 41 18 70
5,91 48 72 18 41
6,46 5 82 64 30
7,5 78 62 25 8
8,46 62 36 61 63
9,91 48 41 70 18
10,12 57 61 81 46
11,62 63 36 57 85
12,65 52 66 87 64
13,59 2 9 68 95
14,82 5 58 30 62
15,46 64 62 97 63
16,56 1 70 98 41
17,64 5 22 25 2
18,91 48 42 41 47
19,91 48 41 1 18
20,82 64 5 25 30
21,91 48 41 42 70
22,91 48 42 41 47
23,62 57 82 12 61
24,91 48 41 42 83
25,5 78 62 22 25
26,64 82 46 25 2
27,65 52 66 87 26
28,63 46 64 36 62
29,91 48 18 41 42
30,46 64 82 62 61
31,91 48 42 41 72
32,64 5 25 2 58
33,91 41 48 33 83
34,91 48 41 55 95
35,91 48 41 50 70
36,65 66 62 44 87
37,91 55 48 41 95
38,91 48 41 42 70
39,64 5 25 58 22
40,91 48 41 42 83
41,91 48 41 42 98
42,64 82 46 5 29
43,46 36 62 63 61
44,91 48 42 41 72
45,91 48 41 42 70
46,64 2 25 46 82
47,64 5 25 2 58
48,91 48 41 42 70
49,91 41 48 70 18
50,41 48 91 83 56
51,91 48 41 95 18
52,91 48 41 42 70
53,70 56 91 98 41
54,91 48 41 42 70
55,82 62 46 85 57
56,91 48 41 42 70
57,46 62 63 36 61
58,63 46 36 62 64
59,91 48 41 42 18
60,91 48 41 42 18
61,91 48 42 41 47
62,64 5 25 2 58
63,46 62 36 63 64
64,59 68 90 2 9
65,41 91 48 70 95
66,91 48 41 18 42
67,64 46 63 82 97
68,91 48 18 28 72
69,91 41 48 95 50
70,65 52 87 66 26
71,91 48 41 42 18
72,91 48 18 42 16
73,65 8 52 64 87
74,46 62 97 63 78
75,62 78 58 36 26
76,91 48 41 42 70
77,46 82 62 36 57
78,63 46 36 64 61
79,65 52 66 87 26
80,57 12 60 81 64
81,41 48 91 83 33
82,91 48 41 4 50
83,1 56 70 98 45
84,46 62 63 61 64
85,1 41 0 56 96
86,46 62 61 82 85
87,91 48 41 18 28
88,65 52 66 87 26
89,65 52 66 87 26
90,63 46 36 64 61
91,91 48 41 95 55
92,1 41 45 98 56
93,46 36 62 63 61
94,82 5 62 78 30
95,90 2 59 9 91
96,62 36 85 63 61
97,91 48 42 41 18
98,64 46 65 66 58
99,91 48 41 18 95
100,64 82 58 20 78
101,91 48 41 42 70
102,91 48 41 42 98
103,82 62 85 30 46
104,5 25 78 82 64
105,63 64 46 58 62
106,5 59 78 30 62
107,91 55 48 41 95
108,63 46 64 36 62
109,46 57 62 63 61
110,91 48 41 42 70
111,1 45 41 98 56
112,65 52 87 66 26
113,91 48 41 18 95
114,48 91 41 50 95
115,65 52 66 87 26
116,91 48 83 41 56
117,91 48 41 95 18
118,82 30 62 59 46
119,91 48 41 72 42
120,91 48 41 83 42
121,1 45 98 48 56
122,91 48 41 18 42
123,91 48 41 42 70
124,91 48 41 42 70
125,46 64 62 97 63
126,91 48 41 42 70
127,25 5 78 82 64
128,64 36 82 58 46
129,1 45 41 56 70
130,41 91 48 83 33
131,25 5 78 22 82
132,46 64 82 25 58
133,65 52 87 66 26
134,91 48 42 41 18
135,91 48 42 41 18
136,62 36 81 63 85
137,65 52 87 66 26
138,62 36 78 30 63
139,91 48 41 42 70
140,65 62 30 64 66
141,64 5 82 46 29
142,91 48 41 42 70
143,65 52 66 87 26
144,64 46 5 62 82
145,64 82 58 5 46
146,65 66 52 87 26
147,91 48 42 41 47
148,91 48 41 42 70
149,91 48 41 33 55
150,56 98 1 70 68
151,82 64 46 62 30
152,5 25 58 82 78
153,1 48 91 41 95
154,91 48 41 42 18
155,46 64 62 97 63
156,1 45 41 48 91
157,91 48 41 42 83
158,64 5 25 2 58
159,91 55 48 95 16
160,1 45 41 98 56
161,48 41 91 47 56
162,91 41 48 70 83
163,91 48 42 41 18
164,59 90 95 9 2
165,91 48 41 42 70
166,91 48 41 42 70
167,64 25 5 22 2
168,62 12 57 82 36
169,91 48 41 42 70
170,5 25 78 22 64
171,91 48 41 71 42
172,62 36 81 63 57
173,65 52 64 66 26
174,64 5 82 46 29
175,64 5 46 2 25
176,1 48 41 91 45
177,91 48 71 42 41
178,1 41 48 91 70
179,64 2 25 58 22
180,91 48 41 42 70
181,66 65 52 87 26
182,1 41 45 70 91
183,64 5 22 25 2
184,91 48 41 42 70
185,1 48 41 91 45
186,91 48 41 98 50
187,63 46 64 36 62
188,91 48 41 42 18
189,91 48 42 41 47
190,91 48 42 41 28
191,41 1 91 34 56
192,1 48 41 91 45
193,64 46 2 82 25
194,65 64 52 66 46
195,46 64 62 36 97
196,91 48 41 42 70
197,65 64 2 5 25
198,91 48 41 1 95
199,64 82 25 5 78
200,91 48 41 42 70
201,63 46 85 62 36
202,0 26 41 71 96
203,48 41 91 47 70
204,91 48 41 42 18
205,91 48 41 55 95
206,65 66 52 87 26
207,64 46 26 63 96
208,91 68 9 2 92
209,62 12 82 57 61
210,91 48 41 42 18
211,64 5 46 62 82
212,91 48 41 42 70
213,91 48 41 18 42
214,91 48 41 18 42
215,91 48 41 98 18
216,1 70 98 24 45
217,70 91 55 48 41
218,91 48 42 41 47
219,25 64 82 46 2
220,91 48 41 42 18
221,65 52 87 66 26
222,91 48 41 42 70
223,65 52 66 87 44
224,46 62 63 61 85
225,91 48 41 42 70
226,82 25 62 5 30
227,91 48 42 41 47
228,46 64 82 85 62
229,91 48 41 55 95
230,46 36 62 63 61
231,62 82 30 5 78
232,41 48 91 83 33
233,46 64 82 85 62
234,62 36 63 81 61
235,5 59 30 25 82
236,82 25 5 62 59
237,91 48 41 55 18
238,91 48 41 42 72
239,91 48 41 42 70
240,91 48 42 41 18
241,65 52 66 87 26
242,68 59 80 2 98
243,64 2 82 46 25
244,46 36 62 63 61
245,65 52 66 87 64
246,62 82 57 61 81
247,63 46 64 62 57
248,91 48 41 55 95
249,65 64 52 66 46
250,91 48 1 72 41
251,64 5 82 46 29
252,91 48 41 42 70
253,91 48 41 42 70
254,65 52 66 87 26
255,64 46 26 63 96
256,91 48 42 41 47
257,41 48 91 21 95
258,65 62 30 64 46
259,46 36 62 63 61
260,1 41 56 98 45
261,64 58 25 2 5
262,91 48 41 42 70
263,70 91 56 41 98
264,91 48 42 41 18
265,62 36 30 81 85
266,41 91 48 70 95
267,65 66 64 46 26
268,46 12 57 82 62
269,1 45 41 98 56
270,91 48 41 42 70
271,64 5 82 29 2
272,46 64 62 36 97
273,64 82 63 36 46
274,91 48 41 42 70
275,62 36 81 63 57
276,13 91 5 8 30
277,91 48 42 41 47
278,91 48 42 41 18
279,46 64 63 82 58
280,64 25 5 22 2
281,82 62 46 85 57
282,5 62 30 82 78
283,64 82 46 5 29
284,91 48 42 16 28
285,91 48 41 42 70
286,65 64 2 5 25
287,12 62 57 61 85
288,65 52 66 87 26
289,64 46 61 97 62
290,1 98 0 41 56
291,62 46 85 64 78
292,1 45 41 98 56
293,1 41 45 98 56
294,82 64 25 5 58
295,65 64 52 58 82
296,65 62 66 64 30
297,65 64 52 66 46
298,36 62 46 81 64
299,41 91 48 33 50
300,65 62 26 30 64
301,91 48 41 50 70
302,91 48 28 72 18
303,91 48 42 41 47
304,91 48 28 42 72
305,91 48 42 18 41
306,91 48 70 42 83
307,91 48 42 41 47
308,63 62 46 36 78
309,91 48 41 95 33
310,91 48 41 55 33
311,91 48 41 33 83
312,64 5 22 25 58
313,65 66 52 64 46
314,48 41 91 56 0
315,91 48 41 42 70
316,82 64 25 5 78
317,91 48 41 42 70
318,91 48 41 42 70
319,91 48 41 42 70
320,91 48 41 28 42
321,91 48 41 28 18
322,91 48 41 42 70
323,46 36 62 63 85
324,65 62 26 31 30
325,91 48 41 42 70
326,70 91 56 98 41
327,91 48 41 42 98
328,65 52 66 87 26
329,1 48 41 91 45
330,91 48 18 16 42
331,91 48 18 41 95
332,65 66 87 52 26
333,5 59 78 64 82
334,65 64 52 66 46
335,64 82 58 25 5
336,1 45 56 98 41
337,91 41 48 72 50
338,91 48 41 42 70
339,91 48 42 18 28
340,64 5 25 2 29
341,5 78 82 38 30
342,91 48 41 42 28
343,64 82 46 5 29
344,91 48 41 42 70
345,91 48 41 42 70
346,91 48 41 42 18
347,63 46 64 62 36
348,1 41 98 45 56
349,59 95 68 2 9
350,91 48 18 28 72
351,91 48 42 16 18
352,91 48 41 50 70
353,46 36 63 62 64
354,91 48 41 42 18
355,63 46 62 64 58
356,91 48 41 70 95
357,46 64 62 97 36
358,91 48 41 83 42
359,82 58 30 25 64
360,91 48 41 42 70
361,46 64 82 62 97
362,91 70 48 41 98
363,62 81 61 63 85
364,91 48 95 4 18
365,64 5 25 2 58
366,91 48 41 42 70
367,91 48 41 18 95
368,65 52 66 87 26
369,64 82 5 58 29
370,9 59 2 95 68
371,46 63 62 36 85
372,63 46 36 64 61
373,65 52 66 87 26
374,65 52 66 87 26
375,59 68 90 2 98
376,91 48 41 1 42
377,91 48 41 28 50
378,1 55 95 91 41
379,64 5 22 25 2
380,91 48 41 42 70
381,1 45 41 56 70
382,65 52 87 66 31
383,1 45 98 41 26
384,91 48 41 42 70
385,65 52 66 64 46
386,65 52 87 66 64
387,91 48 41 42 70
388,91 48 41 42 70
389,91 48 41 42 70
390,5 8 59 30 2
391,65 66 52 87 26
392,91 48 42 41 47
393,91 41 48 55 95
394,64 25 5 2 58
395,63 64 46 62 36
396,41 48 91 70 83
397,63 62 30 85 81
398,64 5 25 22 2
399,63 64 46 36 62
400,46 82 62 85 59
401,91 48 41 42 70
