row_id,place_id
0,4393146716 8725643775 4086821630
1,4505710601 2411939657 6143771446
2,7862615088 2516481553 1113606352
3,3243409743 7995458948 9999932225
4,6528965566 4764406629 8277155346
5,8370753254 9727638738 3981785329
6,7564010400 9999932225 3981701796
7,2482334547 9175474378 8550839267
8,6470278079 6421756522 6293838098
9,6980929490 7296657315 3354566425
10,1776286518 8209128517 5100566030
11,6329683508 6955556885 2151183494
12,3975203105 7408201641 3019483453
13,5313553144 2434531540 9959956117
14,5653232021 7405695170 3756584599
15,4390687315 8442351461 9999932225
16,8015849918 3133331643 3981390700
17,6318300870 3221204410 8792019238
18,2865997311 9309147360 4651618900
19,8151914846 1774249595 2667133809
20,5087905665 8388031225 9805459825
21,6990989086 2301465356 6768358857
22,7840467506 5708581121 3981701796
23,9882666614 1422868699 9579277377
24,9366346488 2083653582 7185769628
25,7563100425 9292390996 2441512479
26,5861390859 6312216143 6138041126
27,8977862655 1038433926 9999932225
28,3019483453 4070072518 5276909508
29,7774874828 3667279487 9999932225
30,6809050083 4775873864 7867403132
31,8981068917 9999932225 3981390700
32,3538890855 4176762670 9999932225
33,5775113534 8682968793 3981701796
34,8974913885 5489624633 6054354743
35,3352264829 9999932225 3981390700
36,3242083468 1516776790 8836753944
37,4052491155 4235951438 4465788608
38,4871378480 2571405772 6385281675
39,3898996704 5957043142 4809141084
40,6135698364 4063182476 9267782530
41,7767446977 2584088895 9470494289
42,2162938900 5580652154 2062928641
43,7751488275 9659450248 8995431635
44,1838737764 6488608360 9910727254
45,2736151146 4526711994 9999932225
46,1413665401 6078348166 6192690599
47,8471780938 4859017525 5160243244
48,1304837249 1645142520 4918556336
49,5330473341 9475865948 5371254614
50,9215527358 8042799173 8013661787
51,4413860929 1690723589 3926369968
52,3116588627 2721496487 7547383931
53,6040846880 3981390700 3980090620
54,6185399965 4146818819 4099566767
55,7797871608 7272736715 9999932225
56,5087785489 4984733078 3534986021
57,6840016706 1387660996 8089720393
58,5235582620 3650084366 8153512582
59,2345943180 5426008182 6339297328
60,5810037062 4101045933 8420443879
61,8624319983 8551584793 8672572860
62,7455985321 3512688242 8254026832
63,9214866582 2554051539 9265341025
64,2841264793 9999932225 3981350103
65,3043103930 3619114655 3098994688
66,9541909258 3708202518 5661258792
67,1442969220 9406540759 1807461185
68,6111157832 9999932225 3981785329
69,6018701911 3645475813 1354684620
70,7661447018 1320724092 6994049190
71,5132566706 8169211861 4200158802
72,6245875956 3423929472 8614590088
73,9789100178 6502074425 9999932225
74,8948618695 8713735274 8518754015
75,6856361203 8456832707 9465442426
76,5738863238 8667779413 9421364704
77,4294861523 4077554163 1805113565
78,3609902469 6583295768 9999932225
79,5614331243 6791662127 9705360590
80,8765207846 6129067679 8698966650
81,4582758286 9999932225 3981785329
82,1200294721 6088472462 7436968346
83,3560838151 3168395239 7502268348
84,1010496931 5402582803 6680332891
85,8129178888 2438601089 2829953653
86,6972708864 7971804935 6133552631
87,6742434800 1977002388 2760498896
88,6189280309 8692546097 1818641510
89,2553743686 2518830347 1456764211
90,7887953288 7358780696 7312810234
91,1041025194 4891093847 6339939984
92,3943361168 3638599436 5668078584
93,6566688504 1117174075 3524232034
94,9388222027 4039399272 4694425901
95,7809444487 9682965513 7508427375
96,5123605140 5330143148 5392906648
97,2378755027 8903145710 5947677109
98,3074945627 6090020579 9999932225
99,5304570159 3974542317 3980224941
100,3735770916 7518086931 2702432742
101,5252739302 7974450153 4061542981
102,9758205118 6147316961 9999932225
103,7341652114 3868420814 6654360212
104,3270148109 4374403723 4459824661
105,1744891776 4970791641 2324707082
106,5394632061 3224426900 1095329544
107,8364338548 8490276217 7747157265
108,3780535690 3995914892 9436564583
109,8355411313 8148565867 6824036132
110,3854405521 3011256706 9128576384
111,3207801230 5002069830 8401835004
112,6073727705 7177114718 9999932225
113,8227451401 3012638364 2326357195
114,6343744912 2191807392 9017925094
115,2092409054 3731147499 8999137193
116,6635093854 7475335510 8251651073
117,8897271439 8643397018 3980090620
118,8661826049 9870458233 6063064186
119,9838617334 2515771940 3648114123
120,4143713496 6800161406 1998919713
121,2563774889 3145579639 1366854238
122,4059350871 7255782257 9641630823
123,3509099136 4798032077 9999932225
124,8463004683 9906201061 2814961785
125,5973295566 2527854933 6583033631
126,8475014161 2267612238 3260151359
127,3747502019 3376862800 5774436309
128,5241223707 2264347045 8556009131
129,9185401937 3545866629 6056275672
130,7929155278 6686592335 9999932225
131,5796080137 5709922026 9467604813
132,5798736727 6044377284 4358059746
133,7702603224 6963777334 3778105601
134,5494656147 2331348967 9999932225
135,7610971759 8885469883 3713264416
136,1414799350 1496816632 5653317121
137,1246696155 2283693962 6683325729
138,9965414305 6231536549 9999932225
139,8046313371 4712871935 2818528047
140,1467167179 6021715687 5651097962
141,3103952494 3792800458 2529175210
142,8446201167 3577893343 6819598737
143,7425963590 9074175029 3980224941
